name,website,address,latitude,longitude,category,Video
Agava,https://www.agavarestaurant.com/,"381 Pine Tree Road, Ithaca, NY, 14850",42.4383397,-76.4649064,RESTAURANTS,
Alley Cat Cafe,https://www.alleycatithaca.com/,"112 North Cayuga Street, Ithaca, NY, 14850",42.4398927,-76.4992218,RESTAURANTS,https://www.instagram.com/p/C1m7oYqOWPI/
Alléchant,https://www.allechantithaca.com/,"903 Hanshaw Road, Ithaca, NY, 14850",42.4686916,-76.4791939,RESTAURANTS,
Applebee's,https://restaurants.applebees.com/ny/ithaca-96015.html,"2300 North Triphammer Road, Ithaca, NY, 14850",42.4818777,-76.4852556,RESTAURANTS,
Arby's,https://www.arbys.com/locations/us/ny/ithaca/328-elmira-rd/store-5127/,"328 Elmira Road, Ithaca, NY, 14850",42.4258657,-76.5128003,RESTAURANTS,
Asian Chili Spot,https://asianchiliphotime.com/home/,"208B Dryden Road, Ithaca, NY, 14850",42.4417132,-76.4845543,RESTAURANTS,https://www.tiktok.com/@ipourit/video/7245084843397123371
Bar Argos,https://www.argosinn.com/bar,"408 E State St, Ithaca, NY 14850",42.4396224,-76.4931921,ENTERTAINMENT,https://www.instagram.com/reel/DJRxMwCusSs/?hl=en
BiBiBowl Asian Grill,https://bibibowlusa.com/,"202 Dryden Road, Ithaca, NY, 14850",42.4417231,-76.4848633,RESTAURANTS,
Bickering Twins,https://www.bickeringtwins.com/,"114 North Cayuga Street, Ithaca, NY, 14850",42.4398594,-76.4992936,RESTAURANTS,
Bike Bar,https://bikebarithaca.com/,314 East State Street Ste 100,42.4396888,-76.4949871,ENTERTAINMENT,https://www.facebook.com/bikebarithaca/videos/open-until-11pm-ride-in-and-harass-chris-and-beorn-ithaca-fingerlakes-lawsonsfin/775831970017674/
Capital Corner,http://www.capitalcornerithaca.com/,"140 West State Street, Ithaca, NY, 14850",42.4395892,-76.5005658,RESTAURANTS,
Chanticleer,https://chanticleer.res-menu.com/,"101 W State St, Ithaca, NY 14850",42.4394021,-76.4991972,ENTERTAINMENT,
Chili's,https://www.chilis.com/locations/us/new-york/ithaca/ithaca/,"608 South Meadow Street, Ithaca, NY, 14850",42.4330912,-76.5084764,RESTAURANTS,
Chipotle,https://locations.chipotle.com/ny/ithaca/740-s-meadow-st,"740 South Meadow Street, Ithaca, NY, 14850",42.4302316,-76.5082272,RESTAURANTS,
Ciao!,https://ciaoithaca.com/,"2 Hickory Hollow Lane, Ithaca, NY, 14850",42.4877279,-76.4890655,RESTAURANTS,
Cinemapolis,http://www.cinemapolis.org/,"120 120, Ithaca, NY",42.4389256,-76.497232,ENTERTAINMENT,https://www.youtube.com/shorts/E3Asf0MnLZg?feature=share
Coal Yard Cafe,https://www.thecoalyardcafe.com,"143 Maple Avenue, Ithaca, NY, 14850",42.4410938,-76.4753234,RESTAURANTS,
Collegetown Bagels,https://www.collegetownbagels.com/,"301 East State Street, Ithaca, NY",42.4394242,-76.4951981,RESTAURANTS,https://www.tiktok.com/@collegetownbagels/video/7539690303691754765
Collegetown Bagels,https://www.collegetownbagels.com/,"420 College Avenue, Ithaca, NY, 14850",42.4422537,-76.4854725,RESTAURANTS,
Cornell Dairy Bar,https://scl.cornell.edu/cornell-dairy-bar,"Ithaca, NY",42.4472807,-76.4705563,RESTAURANTS,https://www.instagram.com/reel/C7pXH39uJv8/?hl=en
Creola Southern Steakhouse,https://creolasteakhouse.com/,"112 North Aurora Street, Ithaca, NY, 14850",42.4401161,-76.4958144,RESTAURANTS,
Crossroads Bar and Grill,http://www.thecrossroadsbarandgrille.com/,"3120 North Triphammer Road, Ithaca, NY, 14882",42.5391551,-76.4931869,RESTAURANTS,
D.P. Dough,https://www.dpdough.com/,"408 College Ave, Ithaca, NY, 14850",42.4418993,-76.4853983,RESTAURANTS,
De Tasty Hot Pot,http://www.tastyhotpot.com/,"422 Eddy Street, Ithaca, NY, 14850",42.4421437,-76.4876103,RESTAURANTS,
Domino's,https://pizza.dominos.com/new-york/ithaca/311-e-green-st,"311 East Green Street, Ithaca, NY, 14850",42.4390663,-76.4941552,RESTAURANTS,
Dos Amigos,https://www.dosamigosfood.com/,"403 College Avenue, Ithaca, NY, 14850",42.4418332,-76.4851139,RESTAURANTS,
Dunkin',https://locations.dunkindonuts.com/en/ny/freeville/1414-dryden-rd/350325,"1414 Dryden Road, Freeville, NY, 13068",42.4719642,-76.400865,RESTAURANTS,
Dunkin',https://locations.dunkindonuts.com/en/ny/ithaca/205-s-meadow-st/343337,"205 South Meadow Street, Ithaca, NY, 14850",42.4381195,-76.5079215,RESTAURANTS,
Dunkin',https://locations.dunkindonuts.com/en/ny/lansing/32-peruville-rd/346810,"32 Peruville Road, Lansing, NY, 14882",42.5389613,-76.4917308,RESTAURANTS,
Dunkin',https://locations.dunkindonuts.com/en/ny/ithaca/408-elmira-rd/351104,"408 Elmira Road, Ithaca, NY, 14850",42.4196236,-76.5206351,RESTAURANTS,
FairPour Coffee Roasters,https://www.fairpour.com/hours,"430 West State Street, Ithaca, NY, 14850",42.4394957,-76.5054869,RESTAURANTS,
Five Guys,https://restaurants.fiveguys.com/222-elmira-road,"222 Elmira Road, Ithaca, NY, 14850",42.4297901,-76.5074928,RESTAURANTS,
Franco's Pizzeria,https://www.francosithaca.com/,"527 West State Street, Ithaca, NY, 14850",42.4389342,-76.5076823,RESTAURANTS,
Fusia Bento Bar,https://www.fusiabento.com/,"405 College Avenue, Ithaca, NY, 14850",42.442172,-76.4851322,RESTAURANTS,
Gangnam Station,https://www.gangnamstationithacany.com/order,"104 Dryden Road, Ithaca, NY, 14850",42.4417385,-76.4864325,RESTAURANTS,
Gimme Coffee,https://gimmecoffee.com/pages/locations-hours,"903 Hanshaw Road, Ithaca, NY, 14850",42.4687366,-76.4791774,RESTAURANTS,
Gimme Coffee,https://www.gimmecoffee.com/,"Ithaca, NY",42.4448918,-76.4811448,RESTAURANTS,
Gimme! Coffee,https://www.gimmecoffee.com/,"430 North Cayuga Street, Ithaca, NY, 14850",42.4444636,-76.4994478,RESTAURANTS,
Gimme! Coffee,https://www.gimmecoffee.com/,"506 W State St, Ithaca, NY",42.439518,-76.5064486,RESTAURANTS,
